trade_id,symbol,combo,direction,signal_bar,signal_close,atr_at_signal,entry_bar,entry_price,shares,stop_loss,risk_amount,equity_at_entry,exit_bar,exit_price,exit_reason,bars_held_at_exit,gross_pnl,commission,net_pnl,net_pnl_pct,won,period,regime_at_entry,spy_adx_at_entry,spy_trending_at_entry,bb_mid_at_entry,entry_to_mid_dist
9,MSFT,C,LONG,2025-04-04,359.81,9.351809580118125,2025-04-07,350.53517999999997,0.3862,341.1834,22.56,2255.09,2025-04-09,389.6851,BB_MID,3,15.1184,1.0,14.1184,0.006261,True,all,corrective,32.07,False,384.062,-33.5268
10,MSFT,C,LONG,2026-01-14,459.625,8.244608217131939,2026-01-15,464.161965,0.2933,455.9174,22.69,2268.21,2026-01-20,455.6894,SL,3,-2.4853,1.0,-3.4853,-0.001537,False,all,corrective,11.67,False,480.006,-15.844
11,MSFT,C,LONG,2026-01-21,444.0,8.813497378423186,2026-01-22,448.15896749999996,0.3032,439.3455,22.65,2263.72,2026-01-27,480.3597,BB_MID,4,9.7634,1.0,8.7634,0.003871,True,all,corrective,12.34,False,474.6625,-26.5035
12,MSFT,C,LONG,2026-01-29,433.12,13.32371739741326,2026-01-30,439.7447625,0.3101,426.421,22.72,2271.48,2026-02-02,426.2078,SL,2,-4.1973,1.0,-5.1973,-0.002288,False,all,corrective,10.59,False,467.6893,-27.9445
13,MSFT,C,LONG,2026-02-03,411.25,13.073389986194217,2026-02-04,410.8903425,0.3309,397.817,22.66,2265.29,2026-02-05,397.618,SL,2,-4.3922,1.0,-5.3922,-0.00238,False,all,corrective,10.79,False,459.4447,-48.5544
1,NVDA,C,LONG,2025-09-03,170.6,4.923077182842962,2025-09-04,170.675295,0.799,165.7522,22.73,2271.73,2025-09-05,165.6693,SL,2,-3.9996,1.0,-4.9996,-0.002201,False,all,corrective,21.56,False,178.8495,-8.1742
2,NVDA,C,LONG,2026-02-04,174.195,5.743820179700316,2026-02-05,174.957435,0.7774,169.2136,22.67,2265.73,2026-02-06,185.1174,BB_MID,2,7.8979,1.0,6.8979,0.003044,True,all,corrective,11.5,False,185.5247,-10.5673
1,QQQ,C,LONG,2023-09-21,357.78,5.174961406878743,2023-09-22,359.789805,0.379,354.6148,22.73,2271.73,2023-09-26,354.4375,SL,3,-2.0286,1.0,-3.0286,-0.001333,False,all,corrective,14.82,False,371.5758,-11.7859
2,QQQ,C,LONG,2023-10-26,343.62,6.239987183087028,2023-10-27,346.63322999999997,0.3927,340.3932,22.69,2267.7,2023-11-02,363.2883,BB_MID,5,6.5404,1.0,5.5404,0.002443,True,all,corrective,28.34,False,361.1508,-14.5175
3,QQQ,C,LONG,2024-04-17,425.76,6.409103701717239,2024-04-18,426.73326,0.3196,420.3242,22.73,2272.24,2024-04-19,420.114,SL,2,-2.1157,1.0,-3.1157,-0.001371,False,all,corrective,21.01,False,440.4803,-13.747
4,QQQ,C,LONG,2024-07-24,463.35,7.463422938599221,2024-07-25,463.95186,0.2935,456.4884,22.69,2268.12,2024-07-25,456.2602,SL,1,-2.2571,1.0,-3.2571,-0.001436,False,all,corrective,38.18,False,486.875,-22.9231
5,QQQ,C,LONG,2024-08-05,435.805,10.801357190028856,2024-08-06,437.85882,0.3104,427.0575,22.65,2263.87,2024-08-13,462.3487,BB_MID,6,7.6006,1.0,6.6006,0.002916,True,all,corrective,37.26,False,475.0387,-37.1799
6,QQQ,C,LONG,2025-02-27,500.33,8.658927742943506,2025-02-28,500.10992999999996,0.2724,491.451,22.7,2269.47,2025-03-04,491.2053,SL,3,-2.4256,1.0,-3.4256,-0.001509,False,all,corrective,14.51,False,525.8295,-25.7196
7,QQQ,C,LONG,2025-03-11,471.68,11.758312816352845,2025-03-12,479.3895749999999,0.2836,467.6313,22.66,2265.04,2025-03-13,467.3974,SL,2,-3.4012,1.0,-4.4012,-0.001943,False,all,corrective,27.06,False,515.2102,-35.8207
8,QQQ,C,LONG,2025-04-03,450.7,11.6241975517496,2025-04-04,438.449115,0.3094,426.8249,22.61,2259.64,2025-04-04,426.6115,SL,1,-3.6621,1.0,-4.6621,-0.002063,False,all,corrective,29.9,False,478.1455,-39.6964
9,QQQ,C,LONG,2025-04-07,423.79,14.75096625635552,2025-04-08,438.42410249999995,0.3086,423.6731,22.55,2253.98,2025-04-08,423.4613,SL,1,-4.6176,1.0,-5.6176,-0.002492,False,all,corrective,34.63,False,471.5045,-33.0804
10,QQQ,C,LONG,2025-11-20,585.82,11.784349258381264,2025-11-21,587.623665,0.2296,575.8393,22.48,2247.36,2025-11-26,613.9629,BB_MID,4,6.0467,1.0,5.0467,0.002246,True,all,corrective,17.26,False,616.6855,-29.0618
11,QQQ,C,LONG,2026-01-20,607.93,8.031591112147852,2026-01-21,609.6246600000001,0.2217,601.5931,22.52,2251.41,2026-01-22,620.4996,BB_MID,2,2.4108,1.0,1.4108,0.000627,True,all,corrective,12.27,False,620.4555,-10.8308
12,QQQ,C,LONG,2026-02-04,605.64,9.552948095943666,2026-02-05,600.169935,0.2252,590.617,22.53,2251.82,2026-02-19,603.0983,TIME,10,0.6595,1.0,-0.3405,-0.000151,False,all,corrective,11.5,False,622.167,-21.9971
13,QQQ,C,LONG,2026-03-13,593.61,10.514347787278545,2026-03-16,600.350025,0.225,589.8357,22.51,2250.48,2026-03-19,589.5408,SL,4,-2.4323,1.0,-3.4323,-0.001525,False,all,corrective,26.14,False,605.3287,-4.9787
1,SPY,C,LONG,2023-09-21,431.3,4.468108845906092,2023-09-22,432.69624,0.3151,428.2281,22.73,2271.73,2023-09-26,428.014,SL,3,-1.4756,1.0,-2.4756,-0.00109,False,all,corrective,14.82,False,444.8977,-12.2015
2,SPY,C,LONG,2023-10-26,412.6,5.626234342412308,2023-10-27,414.59219249999995,0.3284,408.966,22.69,2268.25,2023-11-02,430.4747,BB_MID,5,5.2159,1.0,4.2159,0.001859,True,all,corrective,28.34,False,427.3755,-12.7833
3,SPY,C,LONG,2024-04-15,504.52,5.812200440106484,2024-04-16,505.06240499999996,0.27,499.2502,22.72,2271.47,2024-04-17,499.0006,SL,2,-1.6365,1.0,-2.6365,-0.001161,False,all,corrective,18.95,False,517.7725,-12.7101
4,SPY,C,LONG,2024-04-18,499.42,5.7786859937733075,2024-04-19,499.68971999999997,0.2724,493.911,22.69,2267.83,2024-04-19,493.6641,SL,1,-1.6416,1.0,-2.6416,-0.001165,False,all,corrective,22.2,False,515.4795,-15.7898
5,SPY,C,LONG,2024-07-25,538.39,5.931782442060544,2024-07-26,542.641185,0.2505,536.7094,22.65,2264.19,2024-08-02,536.441,SL,6,-1.5529,1.0,-2.5529,-0.001128,False,all,corrective,37.52,False,552.6307,-9.9896
6,SPY,C,LONG,2024-08-05,517.4,8.78448574459621,2024-08-06,519.8197799999999,0.261,511.0353,22.62,2260.64,2024-08-13,541.719,BB_MID,6,5.7168,1.0,4.7168,0.002086,True,all,corrective,37.26,False,549.0815,-29.2617
