ts,symbol,combo,event,direction,close,ema21,bars_in_window,close_above_ema21,vol_gate,adx_gate,vol_ratio,adx14,ema50
2025-04-25,AAPL,A,window_bar_no_confirm,SHORT,,,2.0,False,False,False,0.35523072088795976,23.585172186322357,
2025-04-28,AAPL,A,window_bar_no_confirm,SHORT,,,3.0,False,False,False,0.3179267180727843,21.991151031172564,
2025-04-29,AAPL,A,window_bar_no_confirm,SHORT,,,4.0,False,False,False,0.32088724230470655,20.587088916847236,
2025-04-30,AAPL,A,window_bar_no_confirm,SHORT,,,5.0,False,False,False,0.36940282674866487,19.173363291588,
2025-05-01,AAPL,A,window_expired,SHORT,,,6.0,,,,,,
2025-06-03,AAPL,A,trigger_armed,SHORT,203.33,203.28326054068944,,,,,,,
2025-06-04,AAPL,A,window_bar_no_confirm,SHORT,,,1.0,True,False,False,1.0414999165725487,16.09997820135209,
2025-06-05,AAPL,A,window_bar_no_confirm,SHORT,,,2.0,True,True,False,1.524420121580567,15.910580904731741,
2025-06-06,AAPL,A,window_bar_no_confirm,SHORT,,,3.0,False,False,False,0.9768921318877922,15.515751572559878,
2025-06-09,AAPL,A,window_bar_no_confirm,SHORT,,,4.0,True,False,False,1.1166305034712969,15.53320040408764,
2025-06-10,AAPL,A,window_bar_no_confirm,SHORT,,,5.0,True,False,False,0.8371955993804547,15.549402890506277,
2025-06-11,AAPL,A,window_expired,SHORT,,,6.0,,,,,,
2025-06-20,AAPL,A,trigger_armed,SHORT,201.03,200.5117011474359,,,,,,,
2025-06-23,AAPL,A,window_bar_no_confirm,SHORT,,,1.0,False,False,False,0.9780157203889218,18.938277209800432,
2025-06-24,AAPL,A,window_bar_no_confirm,SHORT,,,2.0,True,False,False,1.434413263118678,17.948329542955157,
2025-06-25,AAPL,A,window_bar_no_confirm,SHORT,,,3.0,False,False,False,0.8327133077205454,16.955391666993243,
2025-06-26,AAPL,A,window_bar_no_confirm,SHORT,,,4.0,False,False,False,1.0407635098147467,16.387285969464163,
2025-06-27,AAPL,A,window_bar_no_confirm,SHORT,,,5.0,False,False,False,1.2496941698028488,15.642365284148674,
2025-06-30,AAPL,A,ema50_break_in_window,SHORT,205.17,,6.0,,,,,,203.90449190867346
2025-07-30,AAPL,A,trigger_armed,LONG,208.96,210.3624941788671,,,,,,,
2025-07-31,AAPL,A,ema50_break_in_window,LONG,207.85,,1.0,,,,,,208.27067398674245
2025-09-10,AAPL,A,trigger_armed,LONG,226.81,230.06566458802018,,,,,,,
2025-09-11,AAPL,A,window_bar_no_confirm,LONG,,,1.0,False,False,True,1.0141028294355912,25.806908012820323,
2025-09-12,AAPL,A,confirmed,LONG,234.04,230.42071453555386,2.0,,,,1.304138532414688,24.33666273533512,
2025-10-10,AAPL,A,trigger_armed,LONG,245.295,249.71155327617674,,,,,,,
2025-10-13,AAPL,A,window_bar_no_confirm,LONG,,,1.0,False,False,True,0.6215797420588091,31.724840387381562,
2025-10-14,AAPL,A,window_bar_no_confirm,LONG,,,2.0,False,False,True,0.6240017924190792,29.746066657692385,
2025-10-15,AAPL,A,confirmed,LONG,249.405,249.375776315685,3.0,,,,0.8069899693084557,28.043863113978123,
2025-11-20,AAPL,A,trigger_armed,LONG,266.395,267.20005951951106,,,,,,,
2025-11-21,AAPL,A,confirmed,LONG,271.49,267.5900541086464,1.0,,,,1.2505205076185013,27.912890099704736,
2026-01-30,AAPL,A,trigger_armed,SHORT,259.06,258.8464705761664,,,,,,,
2026-02-02,AAPL,A,ema50_break_in_window,SHORT,269.95,,1.0,,,,,,262.88541783742505
