ts,symbol,combo,event,spy_close,spy_ema50,beta_60
2024-04-10,META,C,beta_gate_fail,,,1.8068150436588446
2024-04-11,META,C,beta_gate_fail,,,1.7341949509160026
2024-04-12,META,C,beta_gate_fail,,,1.7351995692680926
2024-04-15,META,C,beta_gate_fail,,,1.7442641462046997
2024-04-16,META,C,beta_gate_fail,,,1.8054409937050895
2024-04-17,META,C,beta_gate_fail,,,1.7926654627686254
2024-04-18,META,C,beta_gate_fail,,,1.7745334126153176
2024-04-19,META,C,beta_gate_fail,,,1.80648836650021
2024-04-22,META,C,beta_gate_fail,,,1.7734928069796418
2024-04-23,META,C,beta_gate_fail,,,1.778664514429727
2024-04-24,META,C,beta_gate_fail,,,1.7788337145833593
2024-04-25,META,C,beta_gate_fail,,,1.858690665156213
2024-04-26,META,C,beta_gate_fail,,,1.8266362668266825
2024-04-29,META,C,beta_gate_fail,,,1.8300468597758615
2024-04-30,META,C,spy_below_ema50,502.26,506.18101595262607,
2024-05-01,META,C,spy_below_ema50,500.11,505.94293689566035,
2024-05-02,META,C,spy_below_ema50,505.03,505.9071354487717,
2024-07-30,META,C,spy_below_ema50,541.97,541.9850220028836,
2024-08-02,META,C,spy_below_ema50,532.92,541.9780934453358,
2024-08-05,META,C,spy_below_ema50,517.4,541.014246643558,
2024-08-06,META,C,spy_below_ema50,522.07,540.2713350104773,
2024-08-07,META,C,spy_below_ema50,518.635,539.4228512845763,
2024-08-08,META,C,spy_below_ema50,530.61,539.0772492734163,
2024-08-09,META,C,spy_below_ema50,532.92,538.835788517596,
2024-08-12,META,C,spy_below_ema50,533.29,538.6183066149451,
2024-09-06,META,C,spy_below_ema50,540.46,546.8638430320724,
2024-09-09,META,C,spy_below_ema50,546.44,546.847221736697,
2024-10-31,META,C,spy_below_ema50,568.46,569.1209167099577,
2024-12-18,META,C,spy_below_ema50,586.395,590.8559442307899,
2024-12-19,META,C,spy_below_ema50,586.12,590.6702209276217,
2024-12-23,META,C,spy_below_ema50,589.06,590.6168629170395,
2024-12-30,META,C,spy_below_ema50,588.25,591.4408353559655,
2024-12-31,META,C,spy_below_ema50,586.07,591.230214361614,
2025-01-02,META,C,spy_below_ema50,584.62,590.9709902690016,
2025-01-07,META,C,spy_below_ema50,588.73,591.0858156678637,
2025-01-08,META,C,spy_below_ema50,589.34,591.0173523083397,
2025-01-10,META,C,spy_below_ema50,580.49,590.6045149629147,
2025-01-13,META,C,spy_below_ema50,581.41,590.2439457486827,
2025-01-14,META,C,spy_below_ema50,582.2,589.9284968957932,
2025-02-24,META,C,spy_below_ema50,597.22,599.3774460013725,
2025-02-25,META,C,spy_below_ema50,594.31,599.1787226287696,
2025-02-26,META,C,spy_below_ema50,594.49,598.9948511531315,
2025-02-27,META,C,spy_below_ema50,585.03,598.4472099314402,
2025-02-28,META,C,spy_below_ema50,593.895,598.2686918949131,
2025-03-03,META,C,spy_below_ema50,583.94,597.7067824088381,
2025-03-04,META,C,spy_below_ema50,576.88,596.8900458437856,
2025-03-05,META,C,spy_below_ema50,583.02,596.3461224773627,
2025-03-06,META,C,spy_below_ema50,572.73,595.42000002727,
2025-03-07,META,C,spy_below_ema50,575.76,594.6490196340438,
2025-03-11,META,C,spy_below_ema50,556.08,593.1365090601597,
2025-03-12,META,C,spy_below_ema50,558.92,591.7946851754475,
2025-03-13,META,C,spy_below_ema50,551.6,590.2184230117044,
2025-03-14,META,C,spy_below_ema50,562.78,589.1424064230102,
2025-03-17,META,C,spy_below_ema50,567.02,588.2748610730883,
2025-03-18,META,C,spy_below_ema50,560.92,587.2021214231634,
2025-03-19,META,C,spy_below_ema50,567.0,586.409881367353,
2025-03-20,META,C,spy_below_ema50,565.69,585.5973370000058,
2025-03-21,META,C,spy_below_ema50,564.17,584.7570492745155,
